Human_Readable_Topic,update_date,Categories
Speech-to-Text and Audio Processing,2023-11-21,Applications and Use Cases
Few-Shot Object Detection,2023-11-21,Learning Paradigms
Few-Shot Object Detection,2023-11-21,Applications and Use Cases
Large Language Models in Healthcare Applications,2024-03-06,Applications and Use Cases
Video Understanding with Large Multimodal Models,2023-11-21,Applications and Use Cases
Parameter-Efficient Transfer Learning and Pre-Training,2023-11-22,Core Models and Architectures
Parameter-Efficient Transfer Learning and Pre-Training,2023-11-22,Learning Paradigms
Personalized Portrait Generation with Diffusion Models,2024-05-07,Applications and Use Cases
Parameter-Efficient Transfer Learning and Pre-Training,2023-11-22,Core Models and Architectures
Parameter-Efficient Transfer Learning and Pre-Training,2023-11-22,Learning Paradigms
Molecular and Protein Representation Learning,2024-07-01,Core Models and Architectures
Molecular and Protein Representation Learning,2024-07-01,Applications and Use Cases
Sentiment Analysis in NLP,2023-11-22,Applications and Use Cases
Parameter-Efficient Transfer Learning and Pre-Training,2024-08-22,Core Models and Architectures
Parameter-Efficient Transfer Learning and Pre-Training,2024-08-22,Learning Paradigms
Parameter-Efficient Fine-Tuning for Large Language Models,2023-11-23,Learning Paradigms
Parameter-Efficient Fine-Tuning for Large Language Models,2023-11-23,Optimization Techniques
Improving Instruction Following in Large Language Models,2024-03-22,Learning Paradigms
Emotion Recognition and Analysis in Text,2024-10-21,Applications and Use Cases
Open-Vocabulary 3D Scene Segmentation,2023-12-12,Applications and Use Cases
Defect Classification in Manufacturing,2023-11-28,Applications and Use Cases
Self-Supervised Learning for SAR Imagery Analysis,2024-09-27,Applications and Use Cases
Retrieval-Augmented Generation for Large Language Models,2023-11-28,Applications and Use Cases
Fault Diagnosis in Industrial Machinery,2023-11-28,Applications and Use Cases
Improving Instruction Following in Large Language Models,2023-11-28,Learning Paradigms
Quantum Machine Learning and Neural Networks,2023-11-28,Core Models and Architectures
Quantum Machine Learning and Neural Networks,2023-11-28,Infrastructure and Tools
Diffusion-Based Video Generation,2024-09-12,Core Models and Architectures
Diffusion-Based Video Generation,2024-09-12,Applications and Use Cases
Retrieval-Augmented Generation for Large Language Models,2024-05-28,Applications and Use Cases
Spiking Neural Networks for Image and Language Processing,2024-06-03,Core Models and Architectures
Speech-Driven 3D Facial Animation,2024-05-29,Applications and Use Cases
Large Language Model Safety Evaluation,2024-05-28,Societal Impacts and Ethics
Large Language Model Safety Evaluation,2024-05-28,Evaluation and Benchmarks
Reinforcement Learning from Human Feedback,2024-05-28,Learning Paradigms
Mathematical Reasoning and Question Generation,2024-06-27,Applications and Use Cases
Mathematical Reasoning and Question Generation,2024-06-27,Learning Paradigms
Continual Learning for Image Segmentation,2024-05-28,Learning Paradigms
Speech-to-Text and Audio Processing,2024-09-16,Applications and Use Cases
Large Language Model Safety Evaluation,2024-05-28,Societal Impacts and Ethics
Large Language Model Safety Evaluation,2024-05-28,Evaluation and Benchmarks
Parameter-Efficient Transfer Learning and Pre-Training,2024-08-19,Core Models and Architectures
Parameter-Efficient Transfer Learning and Pre-Training,2024-08-19,Learning Paradigms
Theory of Mind in Large Language Models,2024-11-11,Core Models and Architectures
Theory of Mind in Large Language Models,2024-11-11,Societal Impacts and Ethics
Large Language Models for Wireless Networking,2024-06-18,Applications and Use Cases
Multimodal Large Language Models (MLLMs),2024-05-29,Core Models and Architectures
Multimodal Large Language Models (MLLMs),2024-05-29,Applications and Use Cases
Emotion Recognition and Analysis in Text,2024-07-03,Applications and Use Cases
Reinforcement Learning from Human Feedback,2024-11-08,Learning Paradigms
Molecular and Protein Representation Learning,2024-05-29,Core Models and Architectures
Molecular and Protein Representation Learning,2024-05-29,Applications and Use Cases
Deep Learning for Weather Forecasting,2024-05-29,Applications and Use Cases
Diffusion Models for Text-Guided Image Generation and Editing,2024-05-29,Applications and Use Cases
Retrieval-Augmented Generation for Large Language Models,2024-08-19,Applications and Use Cases
Open-Vocabulary 3D Scene Segmentation,2024-07-30,Applications and Use Cases
Text Classification with Limited Annotations,2024-10-01,Learning Paradigms
Text Classification with Limited Annotations,2024-10-01,Optimization Techniques
Diffusion Models for Text-Guided Image Generation and Editing,2024-05-29,Applications and Use Cases
Human Activity Recognition with Wearable Sensors,2024-05-31,Applications and Use Cases
Reinforcement Learning from Human Feedback,2024-10-29,Learning Paradigms
Reinforcement Learning from Human Feedback,2024-05-29,Learning Paradigms
Memory-Efficient Zeroth-Order Optimizers,2024-10-22,Optimization Techniques
Aspect-Based Sentiment Analysis,2024-05-30,Applications and Use Cases
Visual Place Recognition (VPR),2024-05-29,Applications and Use Cases
Retrieval-Augmented Generation for Large Language Models,2024-10-10,Applications and Use Cases
Ethics in Artificial Intelligence Development,2024-05-30,Societal Impacts and Ethics
Automated Red Teaming for Large Language Models,2024-05-30,Societal Impacts and Ethics
Automated Red Teaming for Large Language Models,2024-05-30,Applications and Use Cases
Large Language Model Safety Evaluation,2024-10-30,Societal Impacts and Ethics
Large Language Model Safety Evaluation,2024-10-30,Evaluation and Benchmarks
Robot Manipulation and Autonomous Systems,2024-06-18,Applications and Use Cases
Reinforcement Learning from Human Feedback,2024-05-30,Learning Paradigms
Automated Red Teaming for Large Language Models,2024-05-30,Societal Impacts and Ethics
Automated Red Teaming for Large Language Models,2024-05-30,Applications and Use Cases
Large Language Models in Healthcare Applications,2024-11-12,Applications and Use Cases
Reinforcement Learning from Human Feedback,2024-11-06,Learning Paradigms
Reinforcement Learning from Human Feedback,2024-10-10,Learning Paradigms
Low-Rank Adaptation (LoRA) for Efficient Fine-Tuning,2024-05-31,Learning Paradigms
Low-Rank Adaptation (LoRA) for Efficient Fine-Tuning,2024-05-31,Optimization Techniques
Reinforcement Learning from Human Feedback,2024-05-31,Learning Paradigms
Improving Instruction Following in Large Language Models,2024-06-03,Learning Paradigms
Large Vision-Language Models Hallucination Analysis,2024-06-03,Evaluation and Benchmarks
Large Vision-Language Models Hallucination Analysis,2024-06-03,Societal Impacts and Ethics
Machine Translation with Large Language Models,2024-08-07,Applications and Use Cases
Speech-to-Text and Audio Processing,2024-05-31,Applications and Use Cases
Molecular and Protein Representation Learning,2024-05-31,Core Models and Architectures
Molecular and Protein Representation Learning,2024-05-31,Applications and Use Cases
Prompt Engineering for Large Language Models,2024-05-31,Learning Paradigms
Prompt Engineering for Large Language Models,2024-05-31,Applications and Use Cases
Web Agents and Automation Tasks,2024-10-03,Applications and Use Cases
Reinforcement Learning from Human Feedback,2024-05-31,Learning Paradigms
Differential Privacy in Machine Learning,2024-06-03,Societal Impacts and Ethics
Self-Supervised Learning and Deep Metric Learning,2024-06-03,Core Models and Architectures
Self-Supervised Learning and Deep Metric Learning,2024-06-03,Learning Paradigms
Diffusion Models for Text-Guided Image Generation and Editing,2024-06-03,Applications and Use Cases
Multimodal Large Language Models (MLLMs),2023-10-03,Core Models and Architectures
Multimodal Large Language Models (MLLMs),2023-10-03,Applications and Use Cases
Adversarial Robustness in Deep Learning Models,2023-10-04,Core Models and Architectures
Adversarial Robustness in Deep Learning Models,2023-10-04,Societal Impacts and Ethics
Brain-Inspired Language Models and Neural Representations,2023-10-04,Core Models and Architectures
Backdoor Attacks and Defenses in Deep Learning,2023-10-24,Societal Impacts and Ethics
Backdoor Attacks and Defenses in Deep Learning,2023-10-24,Core Models and Architectures
Deep Learning for Weather Forecasting,2023-12-08,Applications and Use Cases
Deep Neural Network Watermarking Techniques,2024-05-07,Societal Impacts and Ethics
Deep Neural Network Watermarking Techniques,2024-05-07,Infrastructure and Tools
Text-to-3D Generation and Editing,2023-10-23,Applications and Use Cases
Prompt Engineering for Large Language Models,2023-10-09,Learning Paradigms
Prompt Engineering for Large Language Models,2023-10-09,Applications and Use Cases
Improving Instruction Following in Large Language Models,2024-05-27,Learning Paradigms
Speech-to-Text and Audio Processing,2024-04-04,Applications and Use Cases
Diffusion Models for Text-Guided Image Generation and Editing,2024-04-29,Applications and Use Cases
Large Language Models for Planning Tasks,2024-02-09,Applications and Use Cases
Molecular and Protein Representation Learning,2024-01-22,Core Models and Architectures
Molecular and Protein Representation Learning,2024-01-22,Applications and Use Cases
Self-Supervised Learning for SAR Imagery Analysis,2023-12-05,Applications and Use Cases
Edge Computing for AI and Language Models,2023-10-09,Infrastructure and Tools
Edge Computing for AI and Language Models,2023-10-09,Optimization Techniques
Radiology Report Generation with Multimodal Models,2023-10-09,Applications and Use Cases
Large Language Model Hallucinations,2023-10-11,Societal Impacts and Ethics
Large Language Model Hallucinations,2023-10-11,Evaluation and Benchmarks
Vision Transformers with Convolutional Layers,2024-05-08,Core Models and Architectures
Diffusion Transformers for Image Generation,2024-04-02,Core Models and Architectures
Prompt Engineering for Large Language Models,2023-11-29,Learning Paradigms
Prompt Engineering for Large Language Models,2023-11-29,Applications and Use Cases
Backdoor Attacks on Large Language Models,2023-10-24,Societal Impacts and Ethics
Backdoor Attacks on Large Language Models,2023-10-24,Evaluation and Benchmarks
Sentiment Analysis of COVID-19 Tweets,2023-10-10,Applications and Use Cases
Tool Learning with Large Language Models,2024-02-23,Learning Paradigms
Tool Learning with Large Language Models,2024-02-23,Core Models and Architectures
Monocular Depth Estimation with Transformers and CNNs,2023-10-10,Core Models and Architectures
Federated Learning for Large Language Models,2023-10-10,Learning Paradigms
Federated Learning for Large Language Models,2023-10-10,Optimization Techniques
Financial NLP and Large Language Models,2023-11-14,Applications and Use Cases
NLG Evaluation Metrics and Models,2023-10-10,Evaluation and Benchmarks
NLG Evaluation Metrics and Models,2023-10-10,Core Models and Architectures
Robot Manipulation and Autonomous Systems,2023-10-10,Applications and Use Cases
Robot Manipulation and Autonomous Systems,2023-10-10,Applications and Use Cases
Multimodal Large Language Models (MLLMs),2024-05-20,Core Models and Architectures
Multimodal Large Language Models (MLLMs),2024-05-20,Applications and Use Cases
Robot Manipulation and Autonomous Systems,2023-10-11,Applications and Use Cases
Handwritten Text Recognition and OCR,2023-10-11,Applications and Use Cases
Machine Unlearning in Large Language Models,2024-02-26,Societal Impacts and Ethics
Machine Unlearning in Large Language Models,2024-02-26,Optimization Techniques
Large Language Model Hallucinations,2023-11-08,Societal Impacts and Ethics
Large Language Model Hallucinations,2023-11-08,Evaluation and Benchmarks
Intelligent Agents and Multi-Agent Systems in AI,2024-08-27,Applications and Use Cases
Intelligent Agents and Multi-Agent Systems in AI,2024-08-27,Societal Impacts and Ethics
Diffusion Models for Text-Guided Image Generation and Editing,2023-10-12,Applications and Use Cases
Robot Manipulation and Autonomous Systems,2024-03-27,Applications and Use Cases
Molecular and Protein Representation Learning,2023-11-03,Core Models and Architectures
Molecular and Protein Representation Learning,2023-11-03,Applications and Use Cases
Speech-Driven 3D Facial Animation,2024-06-21,Applications and Use Cases
Graph Learning with Large Language Models,2024-03-12,Core Models and Architectures
Graph Learning with Large Language Models,2024-03-12,Learning Paradigms
Particle Detection and Classification in High Energy Physics,2023-10-12,Applications and Use Cases
Temporal Event Forecasting and Reasoning,2024-04-18,Applications and Use Cases
Robot Manipulation and Autonomous Systems,2024-01-17,Applications and Use Cases
Continual Learning for Image Segmentation,2024-10-22,Learning Paradigms
Large Language Models in Healthcare Applications,2023-10-13,Applications and Use Cases
Robot Manipulation and Autonomous Systems,2023-04-04,Applications and Use Cases
Vision-Language Prompt Learning,2023-08-16,Core Models and Architectures
Vision-Language Prompt Learning,2023-08-16,Learning Paradigms
Multimodal Image Captioning Models,2023-04-05,Applications and Use Cases
Multimodal Image Captioning Models,2023-04-05,Core Models and Architectures
Modular Symmetry in Quark Flavor Models,2023-09-19,Core Models and Architectures
Diffusion Models for Text-Guided Image Generation and Editing,2023-11-30,Applications and Use Cases
Video Understanding with Large Multimodal Models,2023-06-19,Applications and Use Cases
Prompt Engineering for Large Language Models,2023-06-26,Learning Paradigms
Prompt Engineering for Large Language Models,2023-06-26,Applications and Use Cases
Diffusion Models for Text-Guided Image Generation and Editing,2023-04-11,Applications and Use Cases
Algorithmic Fairness in Machine Learning,2023-07-18,Societal Impacts and Ethics
Fake News Detection in AI-Generated Content,2023-10-13,Applications and Use Cases
Fake News Detection in AI-Generated Content,2023-10-13,Societal Impacts and Ethics
Machine Unlearning in Large Language Models,2024-01-30,Societal Impacts and Ethics
Machine Unlearning in Large Language Models,2024-01-30,Optimization Techniques
Image Quality Assessment in Computer Vision,2023-04-12,Applications and Use Cases
Diffusion Models for Text-Guided Image Generation and Editing,2023-04-27,Applications and Use Cases
Code Intelligence and Large Language Models,2023-04-12,Applications and Use Cases
Code Intelligence and Large Language Models,2023-04-12,Infrastructure and Tools
Reinforcement Learning from Human Feedback,2023-10-10,Learning Paradigms
Parameter-Efficient Transfer Learning and Pre-Training,2023-04-14,Core Models and Architectures
Parameter-Efficient Transfer Learning and Pre-Training,2023-04-14,Learning Paradigms
Diffusion Transformers for Image Generation,2023-07-28,Core Models and Architectures
Medical Image Segmentation with Transformers and CNNs,2023-04-14,Core Models and Architectures
Medical Image Segmentation with Transformers and CNNs,2023-04-14,Applications and Use Cases
Process Mining with Large Language Models,2023-04-17,Applications and Use Cases
Music Generation and Retrieval Systems,2023-04-17,Applications and Use Cases
3D Point Cloud Processing and Learning,2023-07-26,Core Models and Architectures
Partial Differential Equation Solvers,2023-09-21,Applications and Use Cases
Improving Instruction Following in Large Language Models,2024-10-04,Learning Paradigms
Diffusion Models for Text-Guided Image Generation and Editing,2023-04-18,Applications and Use Cases
Multimodal Large Language Models (MLLMs),2023-12-14,Core Models and Architectures
Multimodal Large Language Models (MLLMs),2023-12-14,Applications and Use Cases
Robot Manipulation and Autonomous Systems,2023-04-18,Applications and Use Cases
Time Series Forecasting with Deep Learning Models,2023-04-19,Applications and Use Cases
Diffusion-Based Video Generation,2023-12-29,Core Models and Architectures
Diffusion-Based Video Generation,2023-12-29,Applications and Use Cases
Sentence Embeddings and Semantic Meaning Analysis,2023-04-19,Core Models and Architectures
Sentence Embeddings and Semantic Meaning Analysis,2023-04-19,Evaluation and Benchmarks
Continual Learning for Image Segmentation,2023-08-08,Learning Paradigms
Medical Image Segmentation with SAM,2023-05-09,Applications and Use Cases
Robot Manipulation and Autonomous Systems,2023-04-20,Applications and Use Cases
Quantum Entanglement and Generalised Probabilistic Theories,2023-08-03,Core Models and Architectures
Speech-to-Text and Audio Processing,2024-11-22,Applications and Use Cases
Personalized Recommendation Systems,2024-11-22,Applications and Use Cases
Continual Learning for Image Segmentation,2024-11-22,Learning Paradigms
Efficient Pruning of Large Language Models,2024-11-22,Optimization Techniques
Autonomous Driving Technologies,2024-11-22,Applications and Use Cases
Video Understanding with Large Multimodal Models,2024-11-22,Applications and Use Cases
Machine Unlearning in Large Language Models,2024-06-24,Societal Impacts and Ethics
Machine Unlearning in Large Language Models,2024-06-24,Optimization Techniques
Large Language Models in Healthcare Applications,2024-06-24,Applications and Use Cases
Neural Network Quantization Methods,2024-06-24,Optimization Techniques
Speech-to-Text and Audio Processing,2024-06-24,Applications and Use Cases
Optimization Methods for Neural Networks,2024-10-15,Optimization Techniques
Poetry Generation and Analysis,2024-11-11,Applications and Use Cases
Parameter-Efficient Fine-Tuning for Large Language Models,2024-06-24,Learning Paradigms
Parameter-Efficient Fine-Tuning for Large Language Models,2024-06-24,Optimization Techniques
Large Language Models in Healthcare Applications,2024-08-15,Applications and Use Cases
Disaster Response using Twitter Data Classification,2024-06-25,Applications and Use Cases
Action Recognition in Videos using Transformers,2024-06-25,Core Models and Architectures
Action Recognition in Videos using Transformers,2024-06-25,Applications and Use Cases
Machine Unlearning in Large Language Models,2024-10-21,Societal Impacts and Ethics
Machine Unlearning in Large Language Models,2024-10-21,Optimization Techniques
Mixture of Experts (MoE) for Large Language Models,2024-06-25,Core Models and Architectures
Mixture of Experts (MoE) for Large Language Models,2024-06-25,Optimization Techniques
Graph Learning with Large Language Models,2024-10-14,Core Models and Architectures
Graph Learning with Large Language Models,2024-10-14,Learning Paradigms
Personality Traits in Language Models,2024-06-25,Societal Impacts and Ethics
Personality Traits in Language Models,2024-06-25,Core Models and Architectures
Large Language Models in Healthcare Applications,2024-06-26,Applications and Use Cases
Machine Unlearning in Large Language Models,2024-10-17,Societal Impacts and Ethics
Machine Unlearning in Large Language Models,2024-10-17,Optimization Techniques
Anomaly Detection in Logs and Workflows,2024-06-25,Applications and Use Cases
Large Language Models in Healthcare Applications,2024-10-25,Applications and Use Cases
Legal Language Models Evaluation,2024-10-04,Evaluation and Benchmarks
Legal Language Models Evaluation,2024-10-04,Applications and Use Cases
Large Language Model Safety Evaluation,2024-06-25,Societal Impacts and Ethics
Large Language Model Safety Evaluation,2024-06-25,Evaluation and Benchmarks
Multilingual Language Model Transfer,2024-07-01,Core Models and Architectures
Multilingual Language Model Transfer,2024-07-01,Learning Paradigms
Multimodal Large Language Models (MLLMs),2024-06-25,Core Models and Architectures
Multimodal Large Language Models (MLLMs),2024-06-25,Applications and Use Cases
Speech-to-Text and Audio Processing,2024-06-26,Applications and Use Cases
Personality Traits in Language Models,2024-06-26,Societal Impacts and Ethics
Personality Traits in Language Models,2024-06-26,Core Models and Architectures
Tool Learning with Large Language Models,2024-10-01,Learning Paradigms
Tool Learning with Large Language Models,2024-10-01,Core Models and Architectures
Theory of Mind in Large Language Models,2024-07-02,Core Models and Architectures
Theory of Mind in Large Language Models,2024-07-02,Societal Impacts and Ethics
Diffusion Models for Text-Guided Image Generation and Editing,2024-06-26,Applications and Use Cases
Reinforcement Learning from Human Feedback,2024-06-26,Learning Paradigms
Multimodal Large Language Models (MLLMs),2024-06-28,Core Models and Architectures
Multimodal Large Language Models (MLLMs),2024-06-28,Applications and Use Cases
Speech-to-Text and Audio Processing,2024-06-27,Applications and Use Cases
Medical Image Segmentation with SAM,2024-06-27,Applications and Use Cases
Reinforcement Learning from Human Feedback,2024-06-27,Learning Paradigms
Robot Manipulation and Autonomous Systems,2024-11-01,Applications and Use Cases
Large Language Models in Healthcare Applications,2024-07-08,Applications and Use Cases
Large Language Models in Healthcare Applications,2024-06-27,Applications and Use Cases
Retrieval-Augmented Generation for Large Language Models,2024-06-27,Applications and Use Cases
Multilingual Fact-Checking and Evidence Retrieval,2024-06-27,Applications and Use Cases
Multilingual Fact-Checking and Evidence Retrieval,2024-06-27,Societal Impacts and Ethics
Diffusion Transformers for Image Generation,2024-08-28,Core Models and Architectures
Temporal Event Forecasting and Reasoning,2024-06-28,Applications and Use Cases
Spiking Neural Networks for Image and Language Processing,2024-06-28,Core Models and Architectures
Video Understanding with Large Multimodal Models,2024-06-28,Applications and Use Cases
Video Understanding with Large Multimodal Models,2024-07-03,Applications and Use Cases
Patent Analysis and Retrieval Systems,2024-10-18,Applications and Use Cases
Patent Analysis and Retrieval Systems,2024-10-18,Infrastructure and Tools
Large Language Models in Healthcare Applications,2024-08-30,Applications and Use Cases
Multilingual Language Model Transfer,2024-07-01,Core Models and Architectures
Multilingual Language Model Transfer,2024-07-01,Learning Paradigms
Self-Supervised Learning for SAR Imagery Analysis,2024-07-01,Applications and Use Cases
Evaluating Chinese Language Models,2024-10-18,Evaluation and Benchmarks
Reinforcement Learning from Human Feedback,2024-08-20,Learning Paradigms
Multimodal Large Language Models (MLLMs),2023-11-01,Core Models and Architectures
Multimodal Large Language Models (MLLMs),2023-11-01,Applications and Use Cases
Story Generation and Evaluation,2023-10-13,Applications and Use Cases
Story Generation and Evaluation,2023-10-13,Evaluation and Benchmarks
Offline-to-Online Reinforcement Learning,2023-10-13,Learning Paradigms
Offline-to-Online Reinforcement Learning,2023-10-13,Optimization Techniques
Molecular and Protein Representation Learning,2023-10-16,Core Models and Architectures
Molecular and Protein Representation Learning,2023-10-16,Applications and Use Cases
Robot Manipulation and Autonomous Systems,2024-03-14,Applications and Use Cases
Dialogue Systems and Conversational AI,2023-10-16,Applications and Use Cases
Large Language Models for Planning Tasks,2023-10-16,Applications and Use Cases
Large Language Models in Healthcare Applications,2024-04-18,Applications and Use Cases
Improving Instruction Following in Large Language Models,2023-10-25,Learning Paradigms
Language Model Privacy and Memorization Risks,2024-02-27,Societal Impacts and Ethics
Reinforcement Learning with Large Language Models,2023-10-17,Learning Paradigms
Reinforcement Learning with Transformers,2024-02-02,Core Models and Architectures
Reinforcement Learning with Transformers,2024-02-02,Learning Paradigms
Mathematical Reasoning and Question Generation,2023-10-17,Applications and Use Cases
Mathematical Reasoning and Question Generation,2023-10-17,Learning Paradigms
Few-Shot Object Detection,2023-10-17,Learning Paradigms
Few-Shot Object Detection,2023-10-17,Applications and Use Cases
Dialogue Systems and Conversational AI,2024-04-04,Applications and Use Cases
Robot Manipulation and Autonomous Systems,2023-10-18,Applications and Use Cases
Speech-to-Text and Audio Processing,2023-10-18,Applications and Use Cases
Document-Level Relation Extraction,2024-10-03,Applications and Use Cases
Prompt Engineering for Large Language Models,2024-07-03,Learning Paradigms
Prompt Engineering for Large Language Models,2024-07-03,Applications and Use Cases
Language Model Privacy and Memorization Risks,2023-10-18,Societal Impacts and Ethics
Improving Instruction Following in Large Language Models,2023-10-19,Learning Paradigms
Reinforcement Learning from Human Feedback,2023-11-21,Learning Paradigms
Molecular and Protein Representation Learning,2023-10-20,Core Models and Architectures
Molecular and Protein Representation Learning,2023-10-20,Applications and Use Cases
Reinforcement Learning from Human Feedback,2023-10-20,Learning Paradigms
Graph Learning with Large Language Models,2024-05-08,Core Models and Architectures
Graph Learning with Large Language Models,2024-05-08,Learning Paradigms
Remote Sensing Multimodal Language Models,2024-10-17,Applications and Use Cases
Financial NLP and Large Language Models,2023-10-23,Applications and Use Cases
Retrieval-Augmented Generation for Large Language Models,2023-10-23,Applications and Use Cases
Federated Learning for Large Language Models,2024-02-13,Learning Paradigms
Federated Learning for Large Language Models,2024-02-13,Optimization Techniques
Personalized Recommendation Systems,2023-11-28,Applications and Use Cases
Arabic Language Models Development,2023-10-26,Core Models and Architectures
Arabic Language Models Development,2023-10-26,Applications and Use Cases
Speech-to-Text and Audio Processing,2023-10-24,Applications and Use Cases
Molecular and Protein Representation Learning,2024-05-24,Core Models and Architectures
Molecular and Protein Representation Learning,2024-05-24,Applications and Use Cases
Prompt Engineering for Large Language Models,2023-10-24,Learning Paradigms
Prompt Engineering for Large Language Models,2023-10-24,Applications and Use Cases
Large Language Models in Healthcare Applications,2023-10-24,Applications and Use Cases
Fairness in Large Language Models,2024-04-04,Societal Impacts and Ethics
Personalized Recommendation Systems,2024-10-21,Applications and Use Cases
Entity Matching with Large Language Models,2023-10-24,Applications and Use Cases
Robot Manipulation and Autonomous Systems,2024-10-03,Applications and Use Cases
Influence Functions for Machine Learning Models,2024-11-20,Core Models and Architectures
Influence Functions for Machine Learning Models,2024-11-20,Optimization Techniques
Video Understanding with Large Multimodal Models,2024-10-03,Applications and Use Cases
Low-Rank Adaptation (LoRA) for Efficient Fine-Tuning,2024-10-15,Learning Paradigms
Low-Rank Adaptation (LoRA) for Efficient Fine-Tuning,2024-10-15,Optimization Techniques
Reinforcement Learning from Human Feedback,2024-10-03,Learning Paradigms
Reinforcement Learning from Human Feedback,2024-10-03,Learning Paradigms
Multimodal Large Language Models (MLLMs),2024-10-03,Core Models and Architectures
Multimodal Large Language Models (MLLMs),2024-10-03,Applications and Use Cases
Mathematical Reasoning and Question Generation,2024-10-03,Applications and Use Cases
Mathematical Reasoning and Question Generation,2024-10-03,Learning Paradigms
Diffusion Models for NLP,2024-10-04,Core Models and Architectures
Diffusion Models for NLP,2024-10-04,Learning Paradigms
Speech-Driven 3D Facial Animation,2024-10-04,Applications and Use Cases
Web Agents and Automation Tasks,2024-10-21,Applications and Use Cases
Unsupervised Domain Adaptation Methods,2024-10-04,Learning Paradigms
Unsupervised Domain Adaptation Methods,2024-10-04,Optimization Techniques
Parameter-Efficient Transfer Learning and Pre-Training,2024-10-08,Core Models and Architectures
Parameter-Efficient Transfer Learning and Pre-Training,2024-10-08,Learning Paradigms
Prompt Engineering for Large Language Models,2024-10-07,Learning Paradigms
Prompt Engineering for Large Language Models,2024-10-07,Applications and Use Cases
Molecular and Protein Representation Learning,2024-10-04,Core Models and Architectures
Molecular and Protein Representation Learning,2024-10-04,Applications and Use Cases
Multiple Instance Learning for Histopathology Image Analysis,2024-10-04,Applications and Use Cases
Jailbreak Attacks on Large Language Models,2024-10-07,Societal Impacts and Ethics
Jailbreak Attacks on Large Language Models,2024-10-07,Evaluation and Benchmarks
Jailbreak Attacks on Large Language Models,2024-10-08,Societal Impacts and Ethics
Jailbreak Attacks on Large Language Models,2024-10-08,Evaluation and Benchmarks
Evolutionary Algorithms with Large Language Models,2024-10-04,Core Models and Architectures
Evolutionary Algorithms with Large Language Models,2024-10-04,Optimization Techniques
Retrieval-Augmented Generation for Large Language Models,2024-10-07,Applications and Use Cases
Improving Instruction Following in Large Language Models,2024-10-04,Learning Paradigms
Watermarking Techniques for Large Language Models,2024-10-04,Societal Impacts and Ethics
Watermarking Techniques for Large Language Models,2024-10-04,Core Models and Architectures
Gender Bias in Large Language Models,2024-10-04,Societal Impacts and Ethics
Speech-to-Text and Audio Processing,2024-10-04,Applications and Use Cases
Vision-Language Prompt Learning,2024-10-04,Core Models and Architectures
Vision-Language Prompt Learning,2024-10-04,Learning Paradigms
Retrieval-Augmented Generation for Large Language Models,2024-10-04,Applications and Use Cases
Improving Instruction Following in Large Language Models,2024-10-29,Learning Paradigms
Privacy-Preserving Large Language Models,2024-10-07,Societal Impacts and Ethics
Privacy-Preserving Large Language Models,2024-10-07,Optimization Techniques
Multimodal Large Language Models (MLLMs),2024-10-11,Core Models and Architectures
Multimodal Large Language Models (MLLMs),2024-10-11,Applications and Use Cases
Robot Manipulation and Autonomous Systems,2024-10-07,Applications and Use Cases
Adversarial Robustness in Deep Learning Models,2024-10-07,Core Models and Architectures
Adversarial Robustness in Deep Learning Models,2024-10-07,Societal Impacts and Ethics
Advancements in Topic Modeling and Extraction Techniques,2024-10-22,Core Models and Architectures
Advancements in Topic Modeling and Extraction Techniques,2024-10-22,Applications and Use Cases
Text Style Transfer,2024-10-07,Applications and Use Cases
Text Style Transfer,2024-10-07,Learning Paradigms
Molecular and Protein Representation Learning,2024-10-07,Core Models and Architectures
Molecular and Protein Representation Learning,2024-10-07,Applications and Use Cases
Diffusion Transformers for Image Generation,2024-11-13,Core Models and Architectures
Tool Learning with Large Language Models,2024-10-07,Learning Paradigms
Tool Learning with Large Language Models,2024-10-07,Core Models and Architectures
Sarcasm Detection in Natural Language Processing,2024-10-07,Applications and Use Cases
Sarcasm Detection in Natural Language Processing,2024-10-07,Evaluation and Benchmarks
Large Vision-Language Models Hallucination Analysis,2024-10-07,Evaluation and Benchmarks
Large Vision-Language Models Hallucination Analysis,2024-10-07,Societal Impacts and Ethics
Reinforcement Learning from Human Feedback,2024-10-07,Learning Paradigms
Large Language Models in Healthcare Applications,2024-10-08,Applications and Use Cases
Causal Analysis with Large Language Models,2024-10-08,Core Models and Architectures
Causal Analysis with Large Language Models,2024-10-08,Societal Impacts and Ethics
Parameter-Efficient Transfer Learning and Pre-Training,2024-10-08,Core Models and Architectures
Parameter-Efficient Transfer Learning and Pre-Training,2024-10-08,Learning Paradigms
Speech-to-Text and Audio Processing,2024-10-15,Applications and Use Cases
Machine Unlearning in Large Language Models,2024-10-08,Societal Impacts and Ethics
Machine Unlearning in Large Language Models,2024-10-08,Optimization Techniques
Backdoor Attacks on Large Language Models,2024-10-08,Societal Impacts and Ethics
Backdoor Attacks on Large Language Models,2024-10-08,Evaluation and Benchmarks
Low-Rank Adaptation (LoRA) for Efficient Fine-Tuning,2024-10-16,Learning Paradigms
Low-Rank Adaptation (LoRA) for Efficient Fine-Tuning,2024-10-16,Optimization Techniques
Chart Understanding with Large Foundation Models,2024-10-08,Applications and Use Cases
ECG Interpretation and Diagnosis,2024-10-22,Applications and Use Cases
Context Length Extrapolation for LLMs,2024-10-08,Core Models and Architectures
